"packageid","title","keywords","abstract"
"knb-lter-bnz.27","Black spruce allometric measurements: 2000 - 2001","black spruce,conifer,allometric","Forty black spruce (Picea mariana) individuals were measured and harvested across four sites in Interior Alaska during 2000-2001. This dataset was created to develop site-specific allometric equations for black spruce."
"knb-lter-bnz.30","Tree regeneration after fire: Wickersham Dome long-term vegetation study, birch height data","fires,post-fire regeneration,Picea mariana,Populus tremuloides,tree seedlings,long term monitoring,experimental burn,shrubs,cones","These data represent the most recent set of observations (made in 2002 by J. Johnstone) for several long-term vegetation monitoring plots near Wickersham Dome that were set up by Les Viereck and Joan Foote following the 1971 wildfire and 1978 experimental burns. Earlier records are available in the BNZ long-term vegetation database. This dataset documents tree seedling/sapling and shrub measurements made in 2002.

Lists heights of all individual paper birch (Betula papyrifera) present in a plot."
"knb-lter-bnz.300","Greenup values for interior alaska 1976 - Present","plant phenology,greenup,bud burst","Greenup, the frequent rapid transformation of Interior Alaska from Brown space to spring green as the leaves deciduous trees burst forth, is suddenly enough to allow assignment of a single date in a given area to this culmination of a key biological process.  Greenup is important for more than just an aesthetic or biological perspective.  For example, once Greenup has occurred, there is a rapid increase in evapotranspiration.  Which in turn has important consequences in the areas mesoscale meteorology.

Here, dates for green around Fairbanks for more than 20 springs are correlated against several different temperature derived indices calculated entirely from routinely available climatological data.  We examined a variety of degree day statistics and temperature thresholds.  The relationships between these parameters and Greenup dates in Interior Alaska should be useful in projecting future greenup dates.  They may also be useful to post analyze Greenup dates in years for which there is meteorological data but no surviving record of Greenup dates.
"
"knb-lter-bnz.31","Tree regeneration after fire: Wickersham Dome long-term vegetation study, bl. spruce cone analysis","fires,post-fire regeneration,Picea mariana,Populus tremuloides,tree seedlings,long term monitoring,experimental burn,shrubs,cones","These data represent the most recent set of observations (made in 2002 by J. Johnstone) for several long-term vegetation monitoring plots near Wickersham Dome that were set up by Les Viereck and Joan Foote following the 1971 wildfire and 1978 experimental burns. Earlier records are available in the BNZ long-term vegetation database. This dataset documents tree seedling/sapling and shrub measurements made in 2002.

Contains counts of total numbers of cones on individual trees (black spruce only), along with tree height."
"knb-lter-bnz.312","Summer Throughfall Precipitation Recorded at LTER Moisture Exclusion Treatment Plots: 1991-Present(weekly)","rain,precipitation,moisture","Standard rain cans were located at the three corners of the summer moisture exclosure plots and read weekly during the summer season starting in 1991."
"knb-lter-bnz.313","Soil Moisture (TDR) Measurements at LTER Moisture Exclusion Treatment Plots: 1994-Present (weekly)","soil moisture,volumetric soil moisture,time domain reflectometry,rain","Soil volumetric water content measurments made with Campbell datalogger and Tektronix1502B cable Tester in control and summer rain exclusion treatment plots."
"knb-lter-bnz.317","Soil Moisture (TDR) Measurements at FP2A: 1993-1995","time domain reflectometry,soil moisture,volumetric soil moisture,soils","Soil moisture readings were collected hourly during summer months at FP2A with a Campbell data logger and Tektronix1502B Cable tester from 1993 until 1995."
"knb-lter-bnz.318","Soil Moisture (TDR), Temperature, and Precipitation Measurements at UP2A Moisture Exclusion Treatment Plots: 1996-2000","time domain reflectometry,soil moisture,volumetric soil moisture,soil temperature,throughfall precipitation,rain","Soil moisture and temperature readings taken with Campbell datalogger and Tektronix1502B Cable tester within control plot and summer rain exclusion plot."
"knb-lter-bnz.319","Soil Moisture (TDR), Temperature, and Precipitation Measurements at FP3A Moisture Exclusion Treatment Plots: 2002-Present","time domain reflectometry,soil moisture,volumetric soil moisture,soil temperature,throughfall precipitation,rain","Soil moisture and temperature readings taken with Campbell datalogger and Tektronix1502B Cable tester within control plot and summer rain exclusion plot."
"knb-lter-bnz.32","Tree regeneration after fire: Wickersham Dome long-term vegetation study, bl. spruce height data","fires,post-fire regeneration,Picea mariana,Populus tremuloides,tree seedlings,long term monitoring,experimental burn,shrubs,cones","These data represent the most recent set of observations (made in 2002 by J. Johnstone) for several long-term vegetation monitoring plots near Wickersham Dome that were set up by Les Viereck and Joan Foote following the 1971 wildfire and 1978 experimental burns. Earlier records are available in the BNZ long-term vegetation database. This dataset documents tree seedling/sapling and shrub measurements made in 2002.

Lists heights of all individual black spruce (Picea mariana) present in a plot. "
"knb-lter-bnz.321","Soil nitrogen and carbon from organic and mineral soil of 32 mature black spruce sites across interior Alaska  (Sampled 2001)","black spruce,soil carbon,interior,Interior Alaska","Soil nitrogen and carbon was collected at 33 sites as part of a bigger study looking at the structure and function of black spruce stands in interior Alaska.  These variables can be compared to any of the environmental site descriptions, GPS coordinates, soil characteristics, physical site characteristics, stand and structural characteristics, active layer, collected in the summers of 2000, 2001 for these sites "
"knb-lter-bnz.34","Tree regeneration after fire: Wickersham Dome long-term vegetation study, aspen height data","fires,post-fire regeneration,Picea mariana,Populus tremuloides,tree seedlings,long term monitoring,experimental burn,shrubs,cones","These data represent the most recent set of observations (made in 2002 by J. Johnstone) for several long-term vegetation monitoring plots near Wickersham Dome that were set up by Les Viereck and Joan Foote following the 1971 wildfire and 1978 experimental burns. Earlier records are available in the BNZ long-term vegetation database. This dataset documents tree seedling/sapling and shrub measurements made in 2002.

Lists heights of all individual trembling aspen (Populus tremuloides) present in a plot. "
"knb-lter-bnz.342","Alaska 2004 Burns:  Environmental and stand data for sites located in the 2004 burns off the Steese, Taylor, and Dalton Highways, collected in 2005-2011","fires,soils,topography,stand structure,Picea mariana,Composte Burn Index (CBI),fire severity,organic layer,stand age,Joint Fire Science Program","This dataset contains site-level descriptions of environmental data (latitude, slope, aspect, moisture, soil pH and texture), pre-fire stand characteristics (tree density and basal area by species), and fire conditions from the 2004 fires (estimates of canopy and surface fire severity, including CBI, plus estimated stand age, date of burning, and distances to live seed sources). Each sample unit represents a site, and values often are site-level means of sub-samples. These data provide an initial baseline of environmental and fire conditions that can be used in interpreting long-term patterns of vegetation responses at the sites."
"knb-lter-bnz.343","Pre-fire and Post-re species abundance (Braun-blaunquet abundance methods) for 14 sites from 2001-2006.","communities,composition,change,fires,black spruce","this dataset contains pre- and post-fire species abundance data for 14 sites.  All sites were originally established as part of teresa hollingsworth's phd project during 2001-2002 and were burned in 2004.  Species abundance data (using the braun-blaunquet releve method) was collected in 2005 and 2006."
"knb-lter-bnz.345","Alaska Statewide annual maximum Normalized Difference Vegetation Index (NDVI) values from 1982-2003 at 8km pixel size","primary production,remote sensing","Maximum annual NDVI values derived from twice monthly GIMMS-NDVI data, acquired for the period of 1982-2003 were downloaded fry the University of Maryland Global Land Cover Facility (http://www.landcover.org).  These data were originally maximum NDVI values for each 64km2 pixel for each 15-day composite period.  By selecting the maximum NDVI during each 15-day period, non-vegetation effects such as cloud or smoke contamination, and view geometry effects are reduced.  The data had been calibrated by NASA scientists to correct for orbital drift and sensor degradation from a time series of five NOAA AVHRR sensors.  The data were also processed by NASA scientists to correct for atmospheric effects resulting from two major volcanic eruptions: El Chichon in 1982, Mt. Pinatubo in 1991."
"knb-lter-bnz.353","Energy feedbacks of northern high-latitude ecosystems to the climate system due to reduced snow cover during 20th century warming-III","vegetation","This data file contains data for the pan-arctic vegetation map  depicted in Figure 1 of Euskirchen et al (2007).  See Euskirchen et al. (2007) for further details on the construction of this map."
"knb-lter-bnz.36","Tree regeneration after fire: Wickersham Dome long-term vegetation study, shrub height data","fires,post-fire regeneration,Picea mariana,Populus tremuloides,tree seedlings,long term monitoring,experimental burn,shrubs,cones","These data represent the most recent set of observations (made in 2002 by J. Johnstone) for several long-term vegetation monitoring plots near Wickersham Dome that were set up by Les Viereck and Joan Foote following the 1971 wildfire and 1978 experimental burns. Earlier records are available in the BNZ long-term vegetation database. This dataset documents tree seedling/sapling and shrub measurements made in 2002.

Contains data on woody shrub heights measured in the same plots as trees. "
"knb-lter-bnz.360","Firescars with distance from highways in Interior Alaska (1988-1993)","wildfires,Interior Alaska,spatial","Buffers around highways in Alaska in 5 km bins to a maximum distance of 45 km overlaid with 1988 - 1993 firescars, clipped to Interior Alaska"
"knb-lter-bnz.361","Firescars with distance from highways in Interior Alaska (1994-1999)","wildfires,Interior Alaska,spatial","Buffers around highways in Alaska in 5 km bins to a maximum distance of 45 km overlaid with 1994 - 1999 firescars, clipped to Interior Alaska"
"knb-lter-bnz.362","Firescars with distance from highways in Interior Alaska (2000-2005)","wildfires,Interior Alaska,spatial","Buffers around highways in Alaska in 5 km bins to a maximum distance of 45 km overlaid with 2000 - 2005 firescars, clipped to Interior Alaska"
"knb-lter-bnz.363","Firescars with distance from towns in Interior Alaska (1988-1993)","wildfires,Interior Alaska,spatial","Buffers around settlements in Alaska in 5 km bins to a maximum distance of 45 km overlaid with 1988 - 1993 firescars, clipped to Interior Alaska."
"knb-lter-bnz.364","Firescars with distance from towns in Interior Alaska (1994-1999)","wildfires,Interior Alaska,spatial","Buffers around settlements in Alaska in 5 km bins to a maximum distance of 45 km overlaid with 1994 - 1999 firescars, clipped to Interior Alaska."
"knb-lter-bnz.365","Firescars with distance from towns in Interior Alaska (2000-2005)","wildfires,Interior Alaska,spatial","Buffers around settlements in Alaska in 5 km bins to a maximum distance of 45 km overlaid with 2000 -2005 firescars, clipped to Interior Alaska."
"knb-lter-bnz.393","Changes in vegetation in northern Alaska under scenarios of climate change, 2003-2100:  I - Trends in air temperature, precipitation, and cloudiness","vegetation,plant functional type,productivity,climate change,soil carbon,modeling","These data contain estiamtes of changes in climate from northern AK based on a modeling study for the years 2003-2100.  See Euskirchen et al., 2009 for more information.  This file contains data for Figure 3."
"knb-lter-bnz.394","Changes in vegetation in northern Alaska under scenarios of climate change, 2003-2100:  II - Change in net primary production (NPP)","vegetation,plant functional type,productivity,climate change,soil carbon,modeling","This data has npp values from northern AK based on a modeling study for the years 2003-2100.  See Euskirchen et al., 2009 for more information.  This file contains data for Figure 4."
"knb-lter-bnz.395","Changes in vegetation in northern Alaska under scenarios of climate change, 2003-2100:  III - Decadal net primary productivity (NPP) and heterotrophic respiration","vegetation,plant functional type,productivity,climate change,soil carbon,modeling","These data contain NPP, NEP, and RH values from northern AK based on a modeling study for the years 2003-2100.  See Euskirchen et al., 2009 for more information. V This file contains data for Figure 5."
"knb-lter-bnz.396","Changes in vegetation in northern Alaska under scenarios of climate change, 2003-2100:  IV - Relationship between selected carbon pools and fluxes","vegetation,plant functional type,productivity,climate change,soil carbon,modeling","These data contain NPP, NEP, RH, soil C, soil N, and ecosystem carbon changes from northern AK based on a modeling study for the years 2003-2100.  See Euskirchen et al., 2009 for more information.  This file contains data for Figure 6."
"knb-lter-bnz.397","Changes in vegetation in northern Alaska under scenarios of climate change, 2003-2100:  V - Change in summer albedo by climate scenario","vegetation,plant functional type,productivity,climate change,soil carbon,modeling","These data contain albedo estimates from northern AK based on a modeling study for the years 2003-2100.  See Euskirchen et al., 2009 for more information.  This file contains data for Figure 7."
"knb-lter-bnz.398","Alaska 2004 Burns:  Densities of tree seedlings after fire; measured in 2006, 2008, 2011, and 2017 by Joint Fire Science Program","fires,seedling regeneration,tree seedlings,post-fire regeneration,succession,Picea mariana,Betula neoalaskana,Populus tremuloides,Joint Fire Science Program","This dataset contains counts and densities of tree seedlings that established naturally in the years after the 2004 burns in interior Alaska. Records are from a network of 90 sites established in 2005 along the Steese, Taylor, and Dalton highways as part of a Joint Fire Science Project. Counts are reported here for sample years in 2006, 2008, 2011, and 2017."
"knb-lter-bnz.401","White Spruce NPP: average NPP per tree by age cohort for 4 time periods between 1993 and 2008","organic layer,white spruce","This data set is derived from BNZ LTER inventory plots, where DBH of all trees is measured every 3 to 4 years, and increment changes in AG biomass are derived from allometric equations.  Data included in this file were obtained from 1993, 1997, 2000, 2004 and 2008 inventories, generating 4 growth increments between 1997 and 2008.  Data are reported by age cohort, and include NPP increments (averaged across all trees within each landscape and successional stage) for all trees of known age (determined from coring)."
"knb-lter-bnz.402","White Spruce NPP: average NPP per tree by diameter sizeclass for 4 time periods between 1993 and 2008","organic layer,white spruce","This data set is derived from BNZ LTER inventory plots, where DBH of all trees is measured every 3 to 4 years, and increment changes in AG biomass are derived from allometric equations.  Data included in this file were obtained from 1993, 1997, 2000, 2004 and 2008 inventories, generating 4 growth increments between 1997 and 2008.  Data are reported by diameter sizeclass (10 cm increments), and include NPP increments (averaged across all trees within each landscape and successional stage) for which adequate numbers of trees (typically >5) were present to obtain useful measurements (see N in data file)."
"knb-lter-bnz.403","White Spruce NPP per tree and per ha averaged across a 15 year period (1993 to 2008)","organic layer,white spruce","This data set is derived from BNZ LTER inventory plots, where DBH of all trees is measured every 3 to 4 years, and increment changes in AG biomass are derived from allometric equations.  Data included in this file were obtained from 1993, 1997, 2000, 2004 and 2008 inventories.  Data are reported by diameter sizeclass (10 cm increments), and include NPP (averaged across all trees within each landscape and successional stage) expressed on a per tree (kg biomass/tree/year) and a per ha (kg biomass/ha/year) basis."
"knb-lter-bnz.404","White Spruce NPP per tree calculated from dendrometer bands annually from 1994 to 2008","organic layer,white spruce","This data set is derived from BNZ LTER inventory plots, where band dendrometers are in place on trees within each diameter size class (typically 10 trees per 10 cm increment diameter size class).  Dendrometer bands are read in the fall each year.  Biomass is calculated from allometric equations, from which annual biomass increments are derived.  Data are reported as the average annual growth per tree across all trees within a given landscape and successional stage and reported as kg biomass/tree/year."
"knb-lter-bnz.407","Log Decomposition Dynamics in Interior Alaska 1 - Site Data","decomposition,log decomposition,logs","The entire dataset (all 7 files) contains detailed information on a time series study of log decomposition in interior Alaska. The species studied include white and black spruce, aspen, birch, balsam poplar and aspen starting as green trees. In addition white and black spruce in recently burned sites are included. The study was designed to produce a time series of log decomposition measurements over the next 100 years.  The information to be measured on the logs includes weight and density changes over specified time periods, changes in nutrient concentrations, and hemicellulose, cellouse, and lignin concentrations, and changes in the quantity of nutrients and hemicellulose, cellouse and lignin. (This file contains descriptive information and location data for the sites used in the log decomposition study.)"
"knb-lter-bnz.408","Log Decomposition Dynamics in Interior Alaska 2a - Log Data","decomposition,log decomposition,logs","The entire dataset (all 7 files) contains detailed information on a time series study of log decomposition in interior Alaska. The species studied include white and black spruce, aspen, birch, balsam poplar and aspen starting as green trees. In addition white and black spruce in recently burned sites are included. The study was designed to produce a time series of log decomposition measurements over the next 100 years.  The information to be measured on the logs includes weight and density changes over specified time periods, changes in nutrient concentrations, and hemicellulose, cellouse, and lignin concentrations, and changes in the quantity of nutrients and hemicellulose, cellouse and lignin. (This file contains the time zero tree and log physical measurement, and site mapping data for the log decomposition study.)"
"knb-lter-bnz.409","Log Decomposition Dynamics in Interior Alaska 2b - Log Sampling Schedule","decomposition,log decomposition,logs","The entire dataset (all 7 files) contains detailed information on a time series study of log decomposition in interior Alaska. The species studied include white and black spruce, aspen, birch, balsam poplar and aspen starting as green trees. In addition white and black spruce in recently burned sites are included. The study was designed to produce a time series of log decomposition measurements over the next 100 years.  The information to be measured on the logs includes weight and density changes over specified time periods, changes in nutrient concentrations, and hemicellulose, cellouse, and lignin concentrations, and changes in the quantity of nutrients and hemicellulose, cellouse and lignin. (This file contains the sampling schedule for the log decomposition study.)"
"knb-lter-bnz.410","Log Decomposition Dynamics in Interior Alaska 3 - Disk Data","decomposition,log decomposition,logs","The entire dataset (all 7 files) contains detailed information on a time series study of log decomposition in interior Alaska. The species studied include white and black spruce, aspen, birch, balsam poplar and aspen starting as green trees. In addition white and black spruce in recently burned sites are included. The study was designed to produce a time series of log decomposition measurements over the next 100 years.  The information to be measured on the logs includes weight and density changes over specified time periods, changes in nutrient concentrations, and hemicellulose, cellouse, and lignin concentrations, and changes in the quantity of nutrients and hemicellulose, cellouse and lignin. (This file contains the sample disk physical measurement data for the log decomposition study.)"
"knb-lter-bnz.411","Log Decomposition Dynamics in Interior Alaska 4 - Nutrient Data","decomposition,log decomposition,logs","The entire dataset (all 7 files) contains detailed information on a time series study of log decomposition in interior Alaska. The species studied include white and black spruce, aspen, birch, balsam poplar and aspen starting as green trees. In addition white and black spruce in recently burned sites are included. The study was designed to produce a time series of log decomposition measurements over the next 100 years.  The information to be measured on the logs includes weight and density changes over specified time periods, changes in nutrient concentrations, and hemicellulose, cellouse, and lignin concentrations, and changes in the quantity of nutrients and hemicellulose, cellouse and lignin. (This file contains the sample nutrient analysis data for the log decomposition study.)"
"knb-lter-bnz.412","Log Decomposition Dynamics in Interior Alaska 5a - Preliminary Results (treatment down) - Absolute","decomposition,log decomposition,logs","The entire dataset (all 7 files) contains detailed information on a time series study of log decomposition in interior Alaska. The species studied include white and black spruce, aspen, birch, balsam poplar and aspen starting as green trees. In addition white and black spruce in recently burned sites are included. The study was designed to produce a time series of log decomposition measurements over the next 100 years.  The information to be measured on the logs includes weight and density changes over specified time periods, changes in nutrient concentrations, and hemicellulose, cellouse, and lignin concentrations, and changes in the quantity of nutrients and hemicellulose, cellouse and lignin. (This file contains preliminary absolute results for treatment=down part of the study.)"
"knb-lter-bnz.413","Log Decomposition Dynamics in Interior Alaska 5b - Preliminary Results (treatment down) - Retained","decomposition,log decomposition,logs","The entire dataset (all 7 files) contains detailed information on a time series study of log decomposition in interior Alaska. The species studied include white and black spruce, aspen, birch, balsam poplar and aspen starting as green trees. In addition white and black spruce in recently burned sites are included. The study was designed to produce a time series of log decomposition measurements over the next 100 years.  The information to be measured on the logs includes weight and density changes over specified time periods, changes in nutrient concentrations, and hemicellulose, cellouse, and lignin concentrations, and changes in the quantity of nutrients and hemicellulose, cellouse and lignin. (This file contains preliminary retention results for the treatment=down part of the study.)"
"knb-lter-bnz.414","Aspen NPP: Tree density and basal area by diameter sizeclass in upland mid- and late-successional stands: 1989-2008","net primary production,aspen,stand density,basal area","This data set is derived from BNZ LTER inventory plots.  Stand density and basal area are listed by diameter size class of live aspen trees for each replicate stand within mid-successional upland landscapes by year from 1989-2008."
"knb-lter-bnz.415","Aspen NPP: average NPP per tree by diameter sizeclass for 4 time periods between 1993 and 2008","net primary production,aspen","This data set is derived from BNZ LTER inventory plots, where DBH of all trees is measured every 3 to 4 years, and increment changes in AG biomass are derived from allometric equations.  Data included in this file were obtained from 1993, 1997, 2000, 2004 and 2008 inventories, generating 4 growth increments between 1997 and 2008.  Data are reported by diameter sizeclass (10 cm increments), and include NPP increments (averaged across all trees within each landscape and successional stage) for which adequate numbers of trees (typically >5) were present to obtain useful measurements (see N in data file)."
"knb-lter-bnz.416","Aspen NPP per tree calculated from dendrometer bands annually from 1994 to 2008","net primary production,aspen","This data set is derived from BNZ LTER inventory plots, where band dendrometers are in place on trees within each diameter size class (typically 10 trees per 10 cm increment diameter size class).  Dendrometer bands are read in the fall each year.  Biomass is calculated from allometric equations, from which annual biomass increments are derived.  Data are reported as the average annual growth per tree across all trees within a given landscape and successional stage and reported as kg biomass/tree/year."
"knb-lter-bnz.418","Birch NPP: Tree density and basal area by diameter sizeclass in upland and flooplain mid- and late-successional stands: 1989-2008","net primary production,paper birch,stand density,basal area","This data set is derived from BNZ LTER inventory plots.  Stand density and basal area are listed by diameter size class of live Alaskan paper birch trees for each replicate stand within mid- and late- successional upland upland and landscapes by year from 1989-2008."
"knb-lter-bnz.419","Birch NPP: average NPP per tree by diameter sizeclass for 4 time periods between 1993 and 2008","net primary production,paper birch","This data set is derived from BNZ LTER inventory plots, where DBH of all trees is measured every 3 to 4 years, and increment changes in AG biomass are derived from allometric equations.  Data included in this file were obtained from 1993, 1997, 2000, 2004 and 2008 inventories, generating 4 growth increments between 1997 and 2008.  Data are reported by diameter sizeclass (10 cm increments), and include NPP increments (averaged across all trees within each landscape and successional stage) for which adequate numbers of trees (typically >5) were present to obtain useful measurements (see N in data file)."
"knb-lter-bnz.420","Alaska paper birch NPP per tree calculated from dendrometer bands annually from 1994 to 2008","net primary production,paper birch","This data set is derived from BNZ LTER inventory plots, where band dendrometers are in place on trees within each diameter size class (typically 10 trees per 10 cm increment diameter size class).  Dendrometer bands are read in the fall each year.  Biomass is calculated from allometric equations, from which annual biomass increments are derived.  Data are reported as the average annual growth per tree across all trees within a given landscape and successional stage and reported as kg biomass/tree/year."
"knb-lter-bnz.423","Balsam Poplar NPP: average NPP per tree by diameter sizeclass for 4 time periods between 1993 and 2008","net primary production,balsam poplar","This data set is derived from BNZ LTER inventory plots, where DBH of all trees is measured every 3 to 4 years, and increment changes in AG biomass are derived from allometric equations.  Data included in this file were obtained from 1993, 1997, 2000, 2004 and 2008 inventories, generating 4 growth increments between 1997 and 2008.  Data are reported by diameter sizeclass (10 cm increments), and include NPP increments (averaged across all trees within each landscape and successional stage) for which adequate numbers of trees (typically >5) were present to obtain useful measurements (see N in data file)."
"knb-lter-bnz.424","Balsam poplar NPP per tree calculated from dendrometer bands annually from 1994 to 2008","net primary production,balsam poplar","This data set is derived from BNZ LTER inventory plots, where band dendrometers are in place on trees within each diameter size class (typically 10 trees per 10 cm increment diameter size class).  Dendrometer bands are read in the fall each year.  Biomass is calculated from allometric equations, from which annual biomass increments are derived.  Data are reported as the average annual growth per tree across all trees within a given landscape and successional stage and reported as kg biomass/tree/year."
"knb-lter-bnz.429","Air Temperature and Relative Humidity at Long Term Tree Growth Sites; 1989-Present: Hourly","air,air temperature,Long Term Tree Growth Study (LTTG),humidity,relative humidity,temperature,weather","This dataset contains the hourly output for Air Temperature and Relative Humidity sensors located at various Long Term Tree Growth Plots (LTTG). "
"knb-lter-bnz.430","Soil Temperature measurements at Long Term Tree Growth Sites; 1989-Present: Hourly","soils,soil temperature,Long Term Tree Growth Study (LTTG)","This dataset contains the hourly output for Soil Temperature sensors located at various Long Term Tree Growth Plots (LTTG). "
"knb-lter-bnz.431","Air Temperature and Relative Humidity at Long Term Tree Growth Sites; 2001-Present: Hourly","air,air temperature,Long Term Tree Growth Study (LTTG),humidity,relative humidity,temperature,weather","This dataset contains the hourly output for Air Temperature and Relative Humidity sensors located at various Long Term Tree Growth Plots (LTTG). In addition to expanding the number of sites being monitored, some sites contain Omnidata Easy Loggers in which ES-110 sensors used to measure AT/RH have exceeded their lifespan . This dataset is to expand on and replace those older sensors to ensure a continueing dataset. "
"knb-lter-bnz.448","APEX beta NW site: hourly soil temperature, soil moisture, air temperature and RH, photosynthetically active radiation (PAR), and rain. ","air temperature,soil moisture,soil temperature,photosynthetically active radiation,relative humidity,rain","This dataset contains hourly averages of air temperature and RH, soil temperature and moisture, PAR, and rain.  This basic environmental data supports the other research that is going on at this site."
"knb-lter-bnz.449","APEX beta SE site: hourly soil temperature, soil moisture and net radiation. ","soil moisture,soil temperature,net radiation","This dataset contains hourly averages of soil temperature and moisture, and net radiation.  This basic environmental data supports the other research that is going on at this site."
"knb-lter-bnz.450","APEX beta SW site: hourly soil temperature, and soil moisture. ","soil moisture,soil temperature","This dataset contains hourly averages of soil temperature and moisture.  This basic environmental data supports the other research that is going on at this site."
"knb-lter-bnz.451","APEX gamma black spruce site: hourly soil temperature, soil moisture, air temperature and RH and photosynthetically active radiation (PAR). ","air temperature,soil moisture,soil temperature,photosynthetically active radiation,relative humidity","This dataset contains hourly averages of air temperature and RH, soil temperature and moisture, and PAR.  This basic environmental data supports the other research that is going on at this site."
"knb-lter-bnz.462","Locations and Time of Alaska Lightning Strikes 1986-2010 ","Alaska,lightning","This dataset contains locations and time of1986-2010 lightning strikes recorded by a lightning strike detector network and downloaded from the alaska fire service.  The data consists of 1,454,279 lightning locations as GIS points."
"knb-lter-bnz.464","Statewide 2-km raster of year since last widlfire ","wildfires,Geographic Information Systems,burn,Alaska","This raster contains the year since last burn from 1942-2010 at 2-km cell size for the state of Alaska.  The raster matches SNAP statewide climate rasters in extent and cell size. The geotiff raster is in the Alaska Albers NAD83 coordinate system as an unsigned 16-bit integer with valid pixel values ranging from 1942 through 2010."
"knb-lter-bnz.465","Statewide 2-km raster of number of fires within each 2-km pixel since 1942","wildfires,Geographic Information Systems,burn,Alaska","This raster contains the count of wildfires from 1942-2010 within each  2-km cell  for the state of Alaska.  The raster matches SNAP statewide climate rasters in extent and cell size.  The geotiff raster is in the Alaska Albers NAD83 coordinate system as an unsigned 4-bit integer with valid pixel values ranging from 1 through 9 as the number of fires within each pixel from 1942 through 2010."
"knb-lter-bnz.482","Site, environmental and stand data across an age since fire range of 6-338 years for 30 sites in northern Yukon and central Alaska","black spruce,wildfires,environmental variables,stand density","This dataset describes site level environmental and stand attributes of 30 black spruce stands across northern Yukon and central Alaska. Sites were selected to cover a broad age range since fire (6  to 338 years). Site level descriptions include: latitude, longitude, elevation, slope, aspect, soil characteristics (organic layer depth, pH, active layer depth, moisture classification, texture), average tree age, density and stand basal area. <br><br> **In Prep Puplication**  Viglas, Jayme, Carissa Brown, and Jill Johnstone.  Stand age effects on seed productivity of north"
"knb-lter-bnz.483","Samples of individual trees (cones, age) within sites across an age since fire range of 6-338 years for 30 sites in northern Yukon and central Alaska","black spruce,wildfires,cones,seed viability","This dataset describes individual trees within site attributes including cohort of cones (2006-2009), whether cones are opened or closed, the number of cones and seeds and viability of each cohort and the measured age of two perpendicular sections at the base of tree.
<br><br> **In Prep Puplication**  Viglas, Jayme, Carissa Brown, and Jill Johnstone.  Stand age effects on seed productivity of north"
"knb-lter-bnz.503","Black spruce soil delta15N values from 31 sites centered around Fairbanks, AK collected in 2007.","nitrogen,isotopes,ectomycorrhizae","This dataset contains delta 15N values of bulk organic soils, dissolved organic nitrogen, ammonium, and nitrate.  Soil delta 15N values were measured using the denitrifier method at the University of Florida."
"knb-lter-bnz.508","Survey of aspen leaf mining and leaf defenses, including foliar phenolic glycosides and extrafloral nectaries","aspen,leaf miners,herbivory,insects,outbreaks,plant resistance,phenolic compounds,phenolic glycosides","This dataset characterizes the insect damage levels and chemical defenses of aspen (Populus tremuloides) leaves collected from multiple sites near Fairbanks, Alaska in June 2007.  The intent of the data set was to relate leaf mining damage by the aspen leaf miner, Phyllocnistis populiella, to the concentration of phenolic glycosides (secondary metabolites; putative defensive compounds) in leaves."
"knb-lter-bnz.516","MODIS annual maximum NDVI for Tanana-Yukon Uplands Ecoregion from 2000-2012","Normalized Difference Vegetation Index (NDVI),browning,remote sensing,time series","This dataset contains maximum NDVI from the MODIS sensor onboard Aqua and Terra satellites. The NDVI has been filtered to contain only NDVI values exceeding 0.4 which typically represent vegetated pixels in the boreal region of Alaska. Scaling factor of 10,000 was applied to convert 4-byte floating point to 2-byte integer NDVI values (for example 0.4 to 40000,0.9 to 9000)"
"knb-lter-bnz.527","Induction of aspen chemical defense by leaf mining, tested experimentally in 2006","aspen,Populus tremuloides,leaf miners,Phyllocnistis populiella,herbivory,insects,outbreaks,plant resistance,phenolic glycosides","This dataset summarizes the result of a manipulative experiment designed to test whether natural levels of damage by the aspen leaf miner, Phllocnistis populiella, causes the induction of foliar phenolic glycosides in small aspen ramets in the field.  "
"knb-lter-bnz.528","Induction of aspen chemical defense by leaf mining, tested experimentally in 2007.","aspen,Populus tremuloides,leaf miners,Phyllocnistis populiella,herbivory,insects,outbreaks,plant resistance,phenolic glycosides","This dataset summarizes the result of a manipulative experiment designed to test the time course of phenolic glycoside induction by small aspen (Populus tremuloides) in response to leaf mining by the aspen leaf miner, Phyllocnistis populiella.  "
